Q1,Q2,Q3,Q4,Q5,Q29,Q30,Q31_1,Q31_2,Q31_3,Q32_1,Q32_2,Q33
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,CentraleSupélec,0,,1.0,8.0,1.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Paris 1,0,,1.0,9.0,1.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Other,Yes,Engineering and technology,,0,,1.0,4.0,2.0,8.0,2.0,
I have read the terms and I accept the conditions [click here if you agree],Gender No-conforming,Yes,Natural science,Uca,0,,1.0,4.0,1.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Social science,,0,,1.0,3.0,1.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,Université Clermont Auvergne,0,,1.0,7.0,5.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Transgender,Yes,Engineering and technology,ISIMA,1,1,1.0,7.0,3.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Prefer not to say,Yes,Engineering and technology,Polytech,0,,1.0,4.0,1.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Polytech Clermont-Ferrand,1,0,1.0,4.0,2.0,11.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,,0,,1.0,3.0,6.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,IUT CLERMONT FERRAND,1,0,1.0,3.0,1.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,1,0,1.0,9.0,4.0,9.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,0,,1.0,3.0,2.0,11.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Iut informatique de l'université clermont auvergne,1,1,1.0,3.0,5.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,0,,1.0,4.0,1.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Polytech' Clermont-Ferrand,0,,1.0,8.0,5.0,9.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Informatique,0,,1.0,6.0,1.0,6.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,,0,,1.0,5.0,3.0,11.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,ESJ Paris,0,,1.0,9.0,1.0,3.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,UFR STAPS,0,,1.0,2.0,3.0,3.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Medical and health science,Université Clermont Auvergne,0,,1.0,7.0,1.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,UCA,0,,1.0,4.0,3.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,INDE Angers,0,,1.0,1.0,7.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Université d'AvigNo,0,,1.0,3.0,3.0,8.0,1.0,
,Female,Yes,Humanities,Université d'AvigNo,0,,1.0,4.0,1.0,11.0,6.0,
,Female,Yes,Social science,Université d'AvigNo,0,,1.0,5.0,2.0,9.0,9.0,On ne déconnecte jamais du covid avec ces applis
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,CentraleSupélec,0,,2.0,9.0,2.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,IDRAC BUSINESS SCHOOL,0,,2.0,5.0,5.0,10.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,École de droit de Clermont-Ferrand,0,,2.0,8.0,6.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Université Clermont Auvergne,0,,2.0,10.0,1.0,9.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Université clermont auvergne,0,,2.0,11.0,1.0,9.0,7.0,https://youtu.be/dQw4w9WgXcQ
I have read the terms and I accept the conditions [click here if you agree],No-binary,Yes,Engineering and technology,,0,,2.0,4.0,3.0,11.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,Campus des cezeaux universite clermont auvergne,1,0,2.0,9.0,7.0,11.0,2.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Medical and health science,,0,,2.0,5.0,2.0,8.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Sigma Clermont,0,,2.0,3.0,4.0,11.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,Ufr chimie,0,,2.0,2.0,2.0,11.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Uca,1,1,2.0,2.0,1.0,10.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,Uca,0,,2.0,2.0,2.0,3.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,0,,2.0,4.0,1.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,IUT de Clermont Ferrand,0,,2.0,8.0,2.0,11.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Social science,UCA,0,,2.0,8.0,4.0,7.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,0,,2.0,7.0,4.0,9.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Prefer not to say,Yes,Humanities,Esj paris,1,0,2.0,2.0,2.0,1.0,1.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Université Clermont Auvergne,0,,2.0,2.0,2.0,11.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Medical and health science,Staps,0,,2.0,6.0,9.0,5.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Université d'AvigNo,0,,2.0,9.0,5.0,11.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Université d'AvigNo,0,,2.0,8.0,7.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Universtié d'AvigNo,0,,2.0,7.0,1.0,11.0,11.0,
,Male,Yes,Medical and health science,Universtié d'AvigNo,0,,2.0,2.0,2.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Paris 1 Panthéon-Sorbonne,0,,3.0,7.0,10.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Université Paris 1,1,0,3.0,10.0,2.0,11.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,paris descartes,1,0,3.0,11.0,11.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,ESSCA,0,,3.0,10.0,8.0,11.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Université Paris 1 - Panthéon Sorbonne,1,0,3.0,7.0,5.0,10.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,UFR biologie,1,0,3.0,5.0,5.0,8.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,,0,,3.0,8.0,8.0,9.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Social science,Uca,1,0,3.0,5.0,9.0,1.0,1.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,,1,0,3.0,2.0,1.0,11.0,1.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Université Clermont Auvergne,0,,3.0,10.0,1.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,IUT de Clermon-Ferrand,0,,3.0,8.0,6.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Université Clermont Auvergne,0,,3.0,5.0,1.0,6.0,6.0,No
I have read the terms and I accept the conditions [click here if you agree],Gender No-conforming,Yes,Social science,,0,,3.0,8.0,1.0,11.0,1.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Université de Clermont Auvergne,0,,3.0,8.0,3.0,8.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,SIGMA Clermont,0,,3.0,8.0,3.0,10.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,Cezeaux,0,,3.0,8.0,4.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,,0,,3.0,3.0,5.0,9.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,ISIMA,1,1,3.0,10.0,7.0,9.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,,0,,3.0,8.0,2.0,6.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,UCA,0,,3.0,2.0,1.0,11.0,9.0,Je suis contre ce besoin de tracer des gens
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,Cezeau et fac de médecine,0,,3.0,6.0,6.0,6.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,Campus Cezaux,0,,3.0,3.0,5.0,4.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,CentraleSupélec,0,,3.0,9.0,6.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,0,,3.0,3.0,1.0,11.0,1.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,IUT Informatique UCA Clermont-Fd,0,,3.0,8.0,7.0,9.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,0,,3.0,7.0,2.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Prefer not to say,Yes,Natural science,,0,,3.0,5.0,1.0,11.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,UCA,0,,3.0,5.0,4.0,11.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,uca,1,0,3.0,6.0,1.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Social science,Paris 1,0,,3.0,6.0,2.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,UCA Clermont Ferrand,0,,3.0,4.0,5.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Université Paris 1 Panthéon Sorbonne,0,,3.0,3.0,1.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Université d'AvigNo,0,,3.0,6.0,4.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Universtié d'AvigNo,0,,3.0,3.0,1.0,11.0,5.0,
,Female,Yes,Social science,Universtié d'AvigNo,0,,3.0,9.0,3.0,11.0,10.0,Je fais confiance à Google maps mais je sais que je ne devrais pas
,Female,Yes,Humanities,Universtié d'AvigNo,0,,3.0,7.0,3.0,6.0,3.0,
,Male,Yes,Social science,Universtié d'AvigNo,0,,3.0,9.0,5.0,9.0,6.0,
,Female,Yes,Medical and health science,Universtié d'AvigNo,0,,3.0,9.0,6.0,9.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,CentraleSupélec,0,,4.0,6.0,1.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Université de Nice,0,,4.0,7.0,3.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Laboratoire magmas et volcans - OPGC - UCA,1,0,4.0,5.0,5.0,11.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,0,,4.0,7.0,3.0,8.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Humanities,Université Côte d'Azur,1,0,4.0,8.0,6.0,8.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,0,,4.0,6.0,3.0,9.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,1,1,4.0,9.0,1.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Panthéon Sorbonne Paris 1,0,,4.0,6.0,2.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,,0,,4.0,7.0,5.0,11.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,université de lille,0,,4.0,7.0,3.0,11.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Paris 1 - Pantheon Sorbonne,0,,4.0,10.0,3.0,10.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Université de Lille,0,,4.0,9.0,1.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Lille,0,,4.0,9.0,1.0,11.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Université de Lorraine,1,1,4.0,6.0,2.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Paris I,0,,4.0,8.0,2.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Prefer not to say,Yes,Engineering and technology,,1,0,4.0,8.0,4.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Paris 1,1,0,4.0,11.0,2.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Uca,1,1,4.0,11.0,8.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,,0,,4.0,9.0,7.0,11.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,,1,0,4.0,7.0,4.0,9.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,UCA,0,,4.0,8.0,1.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Medical and health science,Université Clermont Auvergne,0,,4.0,4.0,4.0,4.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Paul Valéry,0,,4.0,6.0,1.0,9.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,0,,4.0,8.0,8.0,8.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Polytech Clermont,0,,4.0,4.0,4.0,9.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Polytech Clermont,1,0,4.0,8.0,3.0,9.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,UFR STAPS Clermont,0,,4.0,7.0,3.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,UFR biologie,1,0,4.0,9.0,7.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,1,0,4.0,8.0,5.0,9.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],No-binary,Yes,Natural science,Uca,0,,4.0,7.0,5.0,9.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,Uca,0,,4.0,7.0,1.0,11.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Polytech,0,,4.0,8.0,7.0,11.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Sigma,0,,4.0,8.0,2.0,9.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,Polytech,0,,4.0,4.0,2.0,11.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Cezeau,0,,4.0,8.0,1.0,10.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Medical and health science,,1,0,4.0,4.0,4.0,5.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,Cézeaux et faculté de médecine,0,,4.0,4.0,1.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Polytech,1,0,4.0,5.0,5.0,4.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,0,,4.0,8.0,6.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Transgender,Yes,Engineering and technology,,0,,4.0,10.0,6.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,0,,4.0,4.0,4.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Université Clermont-Auvergne,0,,4.0,6.0,5.0,10.0,8.0,"Il faudrait qu'en ces temps, une telle application soit installée par défaut. Cependant cela causerai quelques conflit ave les personnes pouvant être contres. Certains ne veulent pas pouvoir être tracer, d'autres ne sont pas déranger. Donc l'avis de la majorité doit-il primer sur celui de la minorité ?Je sait pas. Mais je pense qu'une telle application présenterai bien plus d'avantages que d'inconvénients."
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,UCA,0,,4.0,5.0,1.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,0,,4.0,9.0,2.0,9.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,uca,0,,4.0,10.0,4.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Paris 1,0,,4.0,9.0,1.0,11.0,11.0,"My favourite would really be not to habe any app to use. I really dislike the fact that I would NEED a smartphone + and application EVERYWHERE and AT ANY TIME. Regardless of how greatly my data is protected, I believe it restrictis way to much my freedom, and fundamental rights."
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,UFR Pharmacie,1,1,4.0,8.0,7.0,10.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Medical and health science,,0,,4.0,7.0,1.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Carnot,1,0,4.0,7.0,5.0,10.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],No-binary,Yes,Humanities,Université Paris 1 Panthéon Sorbonne,0,,4.0,6.0,3.0,10.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Université d'AvigNo,0,,4.0,9.0,3.0,7.0,7.0,"Personnellement, le fait de vivre dans un pays où un couvre feu est institué, mes mouvements sont déjà réglementés et contraints depuis un an.. tout cela m’effraie, j’ai l’impression d’être dans un épisode de black mirror donc je ne veux pas donner encore au gouvernement un moyen de me contrôler."
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Universtié d'AvigNo,0,,4.0,8.0,8.0,11.0,7.0,
,Female,Yes,Humanities,Universtié d'AvigNo,1,1,4.0,9.0,3.0,11.0,6.0,
,Female,Yes,Medical and health science,Universtié d'AvigNo,0,,4.0,5.0,5.0,9.0,4.0,
,Female,Yes,Medical and health science,Universtié d'AvigNo,0,,4.0,3.0,3.0,3.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,centralesupélec,0,,5.0,6.0,3.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,CentraleSupélec,1,0,5.0,7.0,3.0,9.0,5.0,
