Q1,Q2,Q3,Q4,Q5,Q29,Q30,Q31_1,Q31_2,Q31_3,Q32_1,Q32_2,Q33
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,SIGMA,1,0,7.0,9.0,8.0,7.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,0,,7.0,7.0,3.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,IUT Informatique,0,,7.0,9.0,5.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Iut informatique sur le campus des cezeau,0,,7.0,9.0,7.0,11.0,8.0,Je l'idée d'être tracé en permanence me gêne.
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Iut Informatique des Cézeaux,0,,7.0,8.0,4.0,9.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,IUT informatique,1,0,7.0,8.0,3.0,10.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,IUT Informatique de Clermont-Ferrand,1,0,7.0,8.0,5.0,10.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Université Clermont Auvergne,0,,7.0,8.0,5.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,,0,,7.0,9.0,3.0,10.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,,0,,7.0,9.0,4.0,10.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Universités Clermont Auvergne,1,0,7.0,10.0,3.0,11.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Isima,1,0,7.0,9.0,7.0,7.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,1,0,7.0,4.0,1.0,11.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,UCA droit Clermont Ferrand,0,,7.0,5.0,4.0,7.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Ufr staps,0,,7.0,7.0,5.0,10.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,UCA,0,,7.0,6.0,4.0,10.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Université clermont auvergne,0,,7.0,9.0,4.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,Angers,1,0,7.0,7.0,4.0,10.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Université d'AvigNo,0,,7.0,6.0,5.0,9.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Université d'AvigNo,0,,7.0,8.0,4.0,7.0,6.0,J’ai voulu activer les notifications d’exposition sur mon iPhone mais je n’ai pas pas pu le faire car le gouvernement français n’a pas autorisé cette fonctionnalité.
,Male,Yes,Social science,Universtié d'AvigNo,0,,7.0,9.0,5.0,11.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,,1,0,8.0,10.0,8.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,1,0,8.0,11.0,3.0,11.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,CentraleSupélec,1,0,8.0,5.0,2.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,CentraleSupélec,1,1,8.0,8.0,8.0,9.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,CentraleSupélec,1,0,8.0,10.0,6.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Université de Lille,1,1,8.0,7.0,5.0,10.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Université de Lille,1,0,8.0,6.0,6.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Université de Lille,1,0,8.0,8.0,7.0,11.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Université de Lille,0,,8.0,10.0,7.0,10.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Centrale Lille,0,,8.0,11.0,7.0,10.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Sorbonne Université + CNAM,1,1,8.0,11.0,4.0,11.0,10.0,"Le côté “intérêt collectif” peut passer par dessus l'intérêt privé dans ce genre de cas, me concernant — je suis plus prêt à accepter des situations No-idéales si elles viennent avec des garanties d'aider l'intérêt général au détriment du personnel, même si dans certaines limites (p.ex. cas extrême genre publication de l'historique de déplacement, c'est No malgré tout)."
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Université de Lille,1,0,8.0,8.0,8.0,8.0,4.0,"Personnellement, ce qui me dérange avec les applications de traçage est le fait de devoir laisser actif mon GPS ou mon Bluetooth ou autre pendant toute la journée. Au risque de paraître peu renseigné, protéger mes données me semble important, mais pouvoir laisser mon téléphone sans GPS, données mobiles et Wi-fi l'est tout autant !"
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Sorbonne Université,1,0,8.0,8.0,5.0,8.0,11.0,"Le code serveur doit être open source aussi. Si possible, la base de donnée devrait être publique (si le protocole permet un aNoymat total)."
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,École Centrale de Lille,0,,8.0,7.0,7.0,8.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,,1,1,8.0,7.0,5.0,11.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Prefer not to say,Yes,Social science,Lyon 3,0,,8.0,7.0,7.0,9.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Iae lyon,0,,8.0,7.0,5.0,9.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Paris 1,1,1,8.0,7.0,2.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Paris1 panthéon sorbonne,0,,8.0,10.0,3.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,École de droit de Clermont-Ferrand,1,1,8.0,8.0,7.0,10.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Sigma,0,,8.0,8.0,6.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Sigma,1,0,8.0,7.0,1.0,8.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,POLYTECH,0,,8.0,7.0,6.0,10.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,DUT Mesures Physiques,0,,8.0,9.0,6.0,8.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,uca,1,0,8.0,9.0,9.0,4.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,,0,,8.0,11.0,1.0,11.0,6.0,Je sais pas j’en ai pas téléchargement
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Medical and health science,,1,1,8.0,9.0,8.0,8.0,8.0,"Au lieu de juste télécharger les applications de covid, faudrait que les gens arrêtent d'être des cons et qu'ils fassent un peu d'effort !!!!!"
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Sigma,1,0,8.0,9.0,5.0,10.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Uca,1,1,8.0,7.0,7.0,10.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,Fac de médecine,0,,8.0,8.0,4.0,10.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Uca,0,,8.0,10.0,7.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,ISIMA,0,,8.0,9.0,4.0,9.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Iut clermont ferrand,0,,8.0,7.0,1.0,3.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Campus des cezaux,0,,8.0,5.0,9.0,8.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,,1,0,8.0,7.0,7.0,7.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,UCA,0,,8.0,8.0,5.0,8.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,UCA,1,0,8.0,7.0,3.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Sigma,0,,8.0,10.0,5.0,8.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,IUT d'Aubière,0,,8.0,8.0,5.0,11.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,UCA,0,,8.0,8.0,5.0,9.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,1,0,8.0,3.0,5.0,11.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,,0,,8.0,9.0,5.0,10.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,0,,8.0,9.0,5.0,8.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],No-binary,Yes,Engineering and technology,Université Clermont Auvergne,1,0,8.0,10.0,1.0,11.0,11.0,"Il me parait en aucun cas un organisme privé ne devrait pour avoir accès à des données aussi sensibles que celles des applications de traçage. C'est aux autorités et services publics (surtout les universités) de gérer la crise sanitaire. De plus, comme pour toute mesure des pouvoir public, il faut qu'elle soit transparente pour les citoyens, le code open source me parait donc être un impératif démocratique."
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,,1,0,8.0,9.0,6.0,10.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Humanities,ENS,0,,8.0,10.0,5.0,10.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Sorbonne,0,,8.0,6.0,3.0,11.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Dauphine,0,,8.0,6.0,3.0,7.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Faculté de droit à Clermont ferrand,0,,8.0,6.0,4.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Medical and health science,,1,0,8.0,8.0,6.0,11.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,Faculté de medecine et de pharmacie de Clermont-Ferrand,1,0,8.0,8.0,5.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,,1,1,8.0,7.0,5.0,11.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Isima,1,0,8.0,10.0,3.0,5.0,11.0,"Je pense qu'un code open source peu fiable est largement améliorable par de nombreuses personnes (linux en est un bon exemple). De plus, des avis peuvent être développés par des informaticiens sur un code open source. 
Enfin, je ne fais que très peu confiance aux organismes privés, qui sont pour moi susceptibles de se servir/vendre de ces données (ou les entreprises publiques financées par des... ""lobby"", ces dernier ayant un poids décisionnel)."
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,Faculté,0,,8.0,8.0,8.0,6.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,FACULTÉ DE MÉDECINE ANGERS,0,,8.0,10.0,3.0,11.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Cfp montplaisir,1,1,8.0,8.0,8.0,8.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Humanities,Université Grenoble Alpes,1,1,8.0,7.0,5.0,10.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Social science,,1,0,8.0,8.0,8.0,8.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,Université de Montpellier,1,1,8.0,8.0,4.0,11.0,3.0,"De mon point de vue, de nombreux sites internet de nos jours utilisent nos propres données à leur avantage. Alors pourquoi pas partager les nôtres pour pouvoir avancer dans la crise sanitaire de la COVID-19. Mais, je pense que vu que c’est le gouvernement qui veut mettre en place ces applications, les personnes ont peur. Alors que pourtant, des sites internets utilisent leurs propres informations (comme les données de localisation). C’est mon ressenti. Ce que je dis n’est que mon point de vue. Merci :)"
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,,0,,9.0,8.0,5.0,10.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Centrale Lille; Université de Lille,1,0,9.0,8.0,6.0,8.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Université de Lille,1,1,9.0,10.0,10.0,11.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Tolbiac,1,0,9.0,8.0,2.0,10.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Centrale Lille,0,,9.0,11.0,5.0,9.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,1,1,9.0,9.0,5.0,5.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Université de Lille,1,1,9.0,11.0,3.0,11.0,1.0,Le fait que ces applications soient facultatifs les rendent inutiles. Je ne vois pas comment on pourrait informer les gens qui ont croisé une personne infecté si tous les gens n'ont pas l'application sur leur smartphone. Et ces applications ne sont pas toujours adaptés au hardware (l'utilisation du bluetooth a tendance à consommer beaucoup d'énergie). Enfin c'est pas toujours claire à quel points ces applications sont sécurisés.
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Paris Panthéon Sorbonne,0,,9.0,11.0,2.0,10.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Paris 1 Panthéon Sorbonne,1,1,9.0,8.0,5.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,paris Panthéon Sorbonne Tolbiac,0,,9.0,11.0,1.0,11.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Université catholique de lyon,0,,9.0,9.0,7.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,1,0,9.0,9.0,7.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,0,,9.0,9.0,8.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Université Clermont Auvergne,1,0,9.0,11.0,3.0,11.0,11.0,J'ai pour ma part du mal à décorréler protection des données et open source. Si une application propriétaire dit être sûre : comment le vérifier ? L'open source permet à minima à plusieurs tiers de vérifier la conformité du chiffrage des données ou de la protection que l'application assure.
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Polytech,0,,9.0,10.0,3.0,9.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Université Clermont Auvergne,0,,9.0,8.0,8.0,9.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Université Clermont Auvergne,1,0,9.0,9.0,8.0,10.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,PREP'ISIMA,1,1,9.0,11.0,6.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,ISIMA,0,,9.0,7.0,6.0,9.0,7.0,"Je pense qu'une application de traçage n'esr réellement efficace qu'à condition qu'une grande majorité de personnes l'utilise. Or, ce n'est pas le cas ..."
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Université Clermont Auvergne,0,,9.0,9.0,8.0,9.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,,0,,9.0,8.0,8.0,10.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Sigma,1,1,9.0,9.0,3.0,11.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Isima le 💯,0,,9.0,7.0,4.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Sigma-Clermont,1,0,9.0,9.0,6.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Uca,0,,9.0,10.0,8.0,9.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,IUT Informatique Clermont-Ferrant,1,0,9.0,7.0,4.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,IUT Clermont-Ferrand,0,,9.0,8.0,5.0,10.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,IUT de Clermont-Ferrand,0,,9.0,7.0,10.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,IUT de Clermont-Ferrand,1,0,9.0,8.0,4.0,11.0,7.0,"On a un peu l'impression que ça marche ne fonctionne pas car jamais croisé de personne malade.
"
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,1,1,9.0,8.0,6.0,11.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,Polytech Clermont,1,1,9.0,8.0,5.0,9.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Polytech Clermont,1,1,9.0,8.0,10.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,polytech clermont ferrand,1,1,9.0,8.0,7.0,8.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Isima,0,,9.0,7.0,6.0,10.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Polytech bio,1,1,9.0,7.0,5.0,7.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,,0,,9.0,7.0,8.0,8.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,UCA,0,,9.0,8.0,8.0,10.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,,1,0,9.0,8.0,6.0,11.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,ISIMA,1,0,9.0,7.0,2.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Paris 1 Panthéon Sorbonne,0,,9.0,8.0,5.0,9.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,ISIMA,0,,9.0,9.0,8.0,8.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,UCA,0,,9.0,7.0,9.0,10.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Medical and health science,UCA,0,,9.0,10.0,4.0,10.0,2.0,
